ax,ay,az,gx,gy,gz,mx,my,mz,Yaw,Pitch,Roll,rate
-185.0,-121.89,766.11,-0.04,-0.11,0.05,50285,3099,2409,-115.58,-6.14,36.17,4.29
-186.28,-126.46,763.0,-0.02,-0.21,-0.12,50241,3086,2407,-103.25,14.84,-54.37,4.29
-185.61,-122.19,768.31,0.03,-0.04,-0.07,50246,3106,2413,-88.83,14.36,41.71,4.29
-182.37,-121.95,763.24,-0.08,-0.16,0.14,50274,3099,2420,-92.85,-5.89,-53.45,4.29
-184.63,-124.27,764.34,-0.02,-0.02,0.09,50244,3097,2414,-45.24,37.27,57.1,4.29
-185.79,-120.91,764.1,-0.02,0.04,-0.11,50262,3101,2428,-82.77,-27.2,-35.29,4.29
-186.52,-123.05,764.34,0.02,-0.04,-0.08,50260,3113,2423,-45.63,61.26,34.44,4.29
-182.31,-119.69,766.36,0.05,-0.05,0.05,50258,3101,2404,-107.83,-24.33,10.94,4.29
-157.17,-118.1,769.84,-0.04,-0.66,0.36,50235,3116,2409,-104.2,45.69,-37.23,4.29
-183.9,-121.95,765.2,0.07,-0.06,-0.02,50250,3102,2406,-119.2,-12.83,30.12,4.29
-184.57,-122.13,768.68,-0.07,0.02,-0.04,50271,3092,2409,-104.14,26.47,-50.98,4.29
-184.88,-122.8,767.88,-0.04,0.01,-0.05,50255,3108,2421,-106.47,1.28,37.21,4.29
-184.69,-122.38,768.19,0.06,-0.08,0.03,50255,3115,2404,-99.67,7.56,-54.69,4.29
-186.34,-121.89,766.48,-0.08,0.01,0.09,50262,3104,2404,-74.96,23.18,45.4,4.29
-184.81,-121.83,768.19,-0.03,-0.05,-0.03,50260,3113,2409,-88.56,-14.01,-49.53,4.29
-184.51,-122.99,767.33,-0.08,0.02,-0.09,50248,3101,2411,-32.13,44.48,60.91,4.29
-184.33,-123.9,771.3,-0.13,0.02,-0.08,50267,3102,2392,-85.19,-30.82,-21.45,4.29
-186.22,-121.64,768.43,0.12,0.03,-0.1,50244,3104,2407,-83.04,60.94,-5.48,4.29
-181.4,-121.64,767.88,0.0,-0.09,0.08,50251,3104,2411,-116.86,-21.61,18.91,4.29
-183.29,-124.51,769.53,-0.07,-0.14,-0.01,50239,3095,2413,-103.55,43.61,-43.69,4.29
-179.5,-119.87,769.35,0.0,-0.05,-0.02,50255,3108,2411,-119.73,-9.55,35.74,4.29
-183.23,-119.45,767.52,-0.07,-0.08,0.05,50258,3115,2404,-104.02,18.14,-53.06,4.29
-184.33,-121.83,764.65,-0.07,-0.02,0.08,50239,3109,2416,-94.55,10.24,39.71,4.29
-185.42,-123.35,768.31,0.07,0.01,-0.08,50246,3106,2413,-95.58,-1.2,-54.06,4.29
-187.74,-122.99,764.65,-0.05,0.01,0.11,50246,3106,2409,-55.1,33.15,52.98,4.29
-185.3,-123.23,765.93,-0.02,0.14,-0.09,50257,3106,2409,-84.05,-23.55,-41.12,4.29
-183.47,-120.48,766.78,-0.08,0.01,-0.02,50248,3115,2418,-32.54,55.76,51.25,4.29
-185.12,-123.41,765.87,0.01,-0.13,-0.05,50251,3097,2404,-99.19,-27.63,0.76,4.29
-186.95,-121.28,765.2,-0.03,-0.02,-0.04,50257,3113,2413,-104.85,52.77,-31.35,4.29
-186.34,-121.64,767.21,-0.02,-0.04,-0.01,50248,3111,2404,-119.44,-16.85,27.41,4.29
-182.43,-121.03,769.59,0.0,-0.04,0.01,50260,3095,2413,-105.67,32.17,-49.04,4.29
-186.22,-121.09,771.24,-0.05,0.04,0.0,50250,3106,2395,-111.75,-3.07,36.68,4.29
