ax,ay,az,gx,gy,gz,mx,my,mz,Yaw,Pitch,Roll,rate
-160.16,-162.17,838.26,-0.03,-0.02,0.09,50201,3140,2383,-81.85,-28.54,-37.72,4.29
-163.88,-159.79,833.25,0.02,0.12,0.02,50200,3113,2375,-42.56,59.74,36.11,4.29
-158.57,-161.68,840.09,-0.08,-0.04,0.02,50205,3140,2383,-108.17,-25.31,9.86,4.29
-157.96,-158.33,834.78,0.04,0.09,-0.05,50185,3127,2375,-102.77,45.82,-40.34,4.29
-159.85,-158.2,838.99,-0.07,-0.05,0.05,50196,3131,2375,-123.12,-14.52,31.36,4.29
-158.39,-158.87,838.75,-0.06,0.1,-0.06,50205,3125,2380,-99.48,22.91,-54.45,4.29
-163.7,-161.5,834.47,-0.02,-0.04,0.01,50216,3111,2383,-107.36,0.39,36.07,4.29
-159.0,-159.73,836.85,-0.14,0.02,0.01,50194,3122,2380,-95.55,4.6,-57.5,4.29
-163.02,-161.44,839.97,-0.1,0.03,-0.05,50198,3125,2397,-75.36,22.92,43.53,4.29
-156.98,-159.85,834.05,-0.02,0.03,0.02,50210,3131,2385,-86.49,-16.88,-50.49,4.29
-158.81,-159.18,838.56,-0.02,-0.08,0.04,50225,3120,2382,-32.42,44.65,59.18,4.29
-159.06,-160.28,839.17,0.02,-0.07,0.01,50212,3136,2373,-85.73,-32.45,-19.7,4.29
-159.24,-159.97,840.39,-0.1,-0.02,-0.03,50203,3127,2371,-87.48,57.56,-13.1,4.29
-161.25,-162.23,836.67,0.0,0.05,-0.06,50214,3127,2378,-120.3,-22.08,18.48,4.29
-159.97,-159.85,835.45,-0.03,0.05,-0.06,50198,3143,2383,-96.04,42.8,-44.92,4.29
-161.99,-162.41,835.94,-0.05,-0.04,0.02,50182,3138,2382,-123.23,-11.06,34.89,4.29
-160.1,-160.83,841.06,-0.03,0.03,0.02,50201,3115,2383,-98.25,16.27,-56.49,4.29
-159.24,-161.93,836.24,-0.1,-0.03,0.02,50196,3141,2378,-98.29,7.2,37.36,4.29
-159.24,-161.44,839.23,-0.08,-0.16,0.09,50198,3118,2383,-93.14,-1.91,-56.67,4.29
